key|title|level|semester|parcours|objective|content
Information générale|nan|||master Informatique|"The Graduate Programme Smart Computing   (GP SMART) trains high-level engineers and researchers capable of working at the forefront of digital technology and pushing its boundaries. The GP Smart Computing programme awards two degrees:
• A Master's degree after 2 years of training (M1, M2), providing expertise in both digital engineering and research. The GP Smart Computing Master's programme enables graduates to become Research and Development Engineers in the field of digital technology.
• A Ph.D. in computer science after 5 years of training (M1, M2, D1, D2, D3). The Ph.D. programme allows individuals to become researchers in the field of digital technology.
Students can integrate the GP smart computing in Master 1, Master 2 and D1. The GP SMART programme is one of the six programmes of the Master in Computer Science of Nantes-Université : GP Smart Computing, ALMA: Software engineering, ATAL: Natural Language Processing, ORO : Operational research, DS: Data Science, VICO: Visualisation. It is possible for students to switch to another programme of the Master at the end of M1. Compared to other programmes of the Master, the GP Smart Computing is research oriented and better prepared for the Ph.D."|
Graphes et Complexité|nan|Master|1|M1 Apprentissage et Traitement Automatique de la Langue (ATAL),M1 Architecture Logicielle (ALMA),M1 CMI-OPTIM,M1 Optimisation en Recherche Opérationnelle (ORO),M1 Data Science (DS) ,M1 Visual Computing (VICO),M1 Smart Computing|"1. reconnaître et modéliser un problème réel adapté à la résolution par la théorie des graphes.
2. choisir la représentation d'un graphe la plus adaptée à chaque problème, en visant l'efficacité.
3. prendre en compte la complexité intrinsèque des graphes pour calculer précisément la complexité algorithmique d'une solution et évaluer son efficacité.
4. mettre en œuvre les principales solutions algorithmiques pour les problèmes classiques de théorie des graphes : parcours, connexité, plus courts chemins, recherche de cycles."|"1. Introduction, rappels, exemples et applications.
2. Efficacité des algorithmes et calcul de la complexité: cas particulier des algorithmes portant sur les graphes
3. Graphes particuliers I (arbres, arborescences): algorithmes et applications.
4. Connexité, forte connexité: algorithmes et applications.
5. Graphes particuliers II (graphes bipartis, graphes orientés sans circuits): algorithmes et applications.
6. Plus courts chemins: algorithmes et applications"
Développement et exploitation|nan|Master|1|M1 CMI-OPTIM,M1 Architecture Logicielle (ALMA),M1 Optimisation en Recherche Opérationnelle (ORO),M1 Visual Computing (VICO),M1 Data Science (DS) ,M1 Apprentissage et Traitement Automatique de la Langue (ATAL),M1 Smart Computing|nan|nan
Objectifs (résultats d'apprentissage)|"• Motiver et et définir la vérification et validation :
- notions de besoin et de spécification,
- notions de défaillance, de défaut, d’erreur,
- comprendre pourquoi les logiciels ont des défauts,
- savoir la différence entre vérification et validation,
- savoir citer différentes approches de vérification et les comparer sur des critères pertinents.
• Motiver et définir le test logiciel :
- comprendre le processus général du test logiciel,
- comprendre ce qu’est un scénario de test et une suite de tests,
- comprendre comment exécuter un scénario de test,
- distinguer test manuel ou automatisé,
- distinguer test unitaire, système ou d’intégration,
- comprendre la définition, l’importance et la nécessité des frameworks de test,
- comprendre la méthode fonctionnelle pour définir des scénarios de test,
- comprendre la méthode structurelle pour définir des scénarios de test,
- comprendre le problème de la testabilité,
- comprendre la notion de doublure et son intérêt,
- connaître des métriques mesurant la qualité des tests (couverture et mutation).
• Pratiquer le test logiciel :
- savoir écrire des scénarios de test en suivant une méthode fonctionnelle,
- savoir écrire des scénarios de test en suivant une méthode structurelle,
- savoir utiliser correctement un framework de test,
- savoir créer et utiliser des doublures,
- savoir appliquer des opérateurs de mutation,
- savoir utiliser un outil de mutation et interpréter les résultats,
- savoir utiliser un outil de couverture et interpréter les résultats.
• Motivate and and define verification and validation:
- notions of need and specification,
- notions of failure, fault, error,
- understand why software has flaws,
- know the difference between verification and validation,
- know how to cite different verification approaches and compare them on the basis of relevant criteria.
• Motivate and define software testing:
- understand the general process of software testing,
- understand what a test case and a test suite is,
- understand how to run a test case,
- distinguish manual or automated test,
- distinguish unit, system or integration test,
- understand the definition, importance and necessity of test frameworks,
- understand the functional method to define test scenarios,
- understand the structural method to define test cases,
- understand the problem of testability,
- understand the notion of test doubles and its interest,
- know metrics to measure the quality of tests (coverage and mutation analysis).
• Practice software testing:
- know how to write test scenarios by following a functional method,
- know how to write test scenarios by following a structural method,
- know how to correctly use a test framework,
- know how to create and use test doubles,
- know how to apply mutation operators,
- know how to use a mutation analysis tool and interpret the results,
- know how to use a test coverage tool and interpret the results."||||"• Motiver et et définir la vérification et validation :
- notions de besoin et de spécification,
- notions de défaillance, de défaut, d’erreur,
- comprendre pourquoi les logiciels ont des défauts,
- savoir la différence entre vérification et validation,
- savoir citer différentes approches de vérification et les comparer sur des critères pertinents.
• Motiver et définir le test logiciel :
- comprendre le processus général du test logiciel,
- comprendre ce qu’est un scénario de test et une suite de tests,
- comprendre comment exécuter un scénario de test,
- distinguer test manuel ou automatisé,
- distinguer test unitaire, système ou d’intégration,
- comprendre la définition, l’importance et la nécessité des frameworks de test,
- comprendre la méthode fonctionnelle pour définir des scénarios de test,
- comprendre la méthode structurelle pour définir des scénarios de test,
- comprendre le problème de la testabilité,
- comprendre la notion de doublure et son intérêt,
- connaître des métriques mesurant la qualité des tests (couverture et mutation).
• Pratiquer le test logiciel :
- savoir écrire des scénarios de test en suivant une méthode fonctionnelle,
- savoir écrire des scénarios de test en suivant une méthode structurelle,
- savoir utiliser correctement un framework de test,
- savoir créer et utiliser des doublures,
- savoir appliquer des opérateurs de mutation,
- savoir utiliser un outil de mutation et interpréter les résultats,
- savoir utiliser un outil de couverture et interpréter les résultats.
• Motivate and and define verification and validation:
- notions of need and specification,
- notions of failure, fault, error,
- understand why software has flaws,
- know the difference between verification and validation,
- know how to cite different verification approaches and compare them on the basis of relevant criteria.
• Motivate and define software testing:
- understand the general process of software testing,
- understand what a test case and a test suite is,
- understand how to run a test case,
- distinguish manual or automated test,
- distinguish unit, system or integration test,
- understand the definition, importance and necessity of test frameworks,
- understand the functional method to define test scenarios,
- understand the structural method to define test cases,
- understand the problem of testability,
- understand the notion of test doubles and its interest,
- know metrics to measure the quality of tests (coverage and mutation analysis).
• Practice software testing:
- know how to write test scenarios by following a functional method,
- know how to write test scenarios by following a structural method,
- know how to correctly use a test framework,
- know how to create and use test doubles,
- know how to apply mutation operators,
- know how to use a mutation analysis tool and interpret the results,
- know how to use a test coverage tool and interpret the results."|"• Notions de besoins, d'exigences, de vérification, de validation
• Concepts généraux du test logiciel : processus, scénario de test, architecture d'un framework de test logiciel
• Méthode fonctionnelle pour définir des scénarios de test à partir des exigences
• Méthode structurelle pour définir des scénarios de test à partir du code source
• Problèmes de testabilité d'un logiciel, utilisation de doublures de test pour faire face à de tels problèmes
• Qualité d'une suite de tests et méthodes pour la mesurer (couverture, analyse de mutation)
• Notions of needs, requirements, verification, validation
• General concepts of software testing: process, test case, architecture of a software testing framework
• Functional method to define test cases from requirements
• Structural method for defining test cases from source code
• Software testability issues, using test doubles to deal with such issues
• Quality of a test suite and methods to measure it (coverage, mutation analysis)"
Conception de logiciels|"• Fonctionnement
- En séance : cours magistraux pour la théorie (avec support de cours complet en version web et papier), travaux dirigés pour l'application ""sur papier"", travaux pratiques pour l'application sur machine
- En distanciel / autonomie : travaux pratiques complémentaires, lecture et compréhension en autonomie d'un chapitre non étudié en séance.
• Évaluation
- Controle Continu Écrit (CCE) en deux épreuves (mi semestre puis fin de semestre)
- Contrôle Continu Pratique (CCP).
• Organization
- In class: lectures to learn theory (with full course available in web and paper version), tutorials without computers, practical work on computers
- Outside class: additional practical work, reading and understanding an additional chapter not studied in class, group work on a project given at the end of the semester (see below)
• Evaluation
- Two written tests (mid semester then end of semester)
- One evaluated project to be submitted at the end of the semester"|Master|1|M1 Optimisation en Recherche Opérationnelle (ORO),M1 CMI-OPTIM,M1 Smart Computing|nan|nan
Graphes II et Réseaux|Graphes II et Réseaux|Master|1|M1 Optimisation en Recherche Opérationnelle (ORO),M1 CMI-OPTIM,M1 Smart Computing|"1. reconnaître, modéliser et résoudre un problème de flots à l'aide d'algorithmes classiques, y compris lorsque le coût compte.
2. reconnaître, modéliser et résoudre un problème de transport à l'aide de l'algorithme du simplexe réseau.
3. comprendre l'étendue des applications, mais aussi des limites de chacune des problématiques/méthodes.
4. mener à bien un projet de résolution de problème à l'aide de graphes, en binôme, depuis la prise en main du sujet et jusqu'à l'évaluation des solutions/implémentations proposées"|"Ce cours concerne divers problèmes de transports dans les réseaux, leurs algorithmes et leurs applications:
1. Problème du flot maximum : algorithmes de Ford-Fulkerson, d'Edmonds-Karp, de préflot, leurs avantages et leurs limites.
2. Problème du flot maximum de coût minimum : algorithme des plus courts chemins, algorithme de Klein, leurs avantages et leurs limites.
3. Problèmes de transbordement : algorithme du simplexe réseau, ses avantages et ses limites."
Dualité et optimisation linéaire continue|Dualité et optimisation linéaire continue|Master|1|M1 Optimisation en Recherche Opérationnelle (ORO),M1 CMI-OPTIM,M1 Smart Computing|"Un étudiant suivant avec attention ce cours sera capable de :
* Résoudre un programme linéaire graphiquement et par l'algorithme primal simplexe (A)
* Décrire les propriétés liant un programme linéaire (dit primal) et son dual (M)
* Donner l'interprétation économique du problème dual : comprendre le lien entre les valeurs des variables duales, les coûts réduits des variables primales et la notion de coût dual associé à une contrainte primale (M)
* Résoudre un programme linéaire par l'algorithme dual simplexe (A)
* Décrire des raffinements des algorithmes du simplexe (forme révisée, variantes en variables bornées) (I)
* Déterminer les conséquences sur le tableau simplexe optimal d'une modification du problème initial : modification de coefficients de la fonction objectif, de membres de droite d'une contrainte, ajout de variables et/ou de contraintes (A)
* Interpréter correctement les notions d'intervalle de sensibilité d'un coefficient de la fonction objectif ou d'un second membre d'une contrainte (A)
* Réoptimiser un programme linéaire auquel des contraintes/des variables ont été ajoutées après la résolution initiale (A)
* Reconnaître une matrice totalement unimodulaire, et décrire ses propriétés (A)
* Résoudre le problème d'affectation par la méthode hongroise (A)"|"1) Rappels : résolution graphique de programmes linéaires, algorithme primal simplexe
2) Dualité en programmation linéaire : définition, principales propriétés, interprétation économique
3) Algorithme dual simplexe
4) Analyse post-optimale
5) Résolution du problème d'affectation linéaire par la méthode hongroise"
Analyse exploratoire de données|Analyse exploratoire de données|Master|1|M1 Visual Computing (VICO),M1 Data Science (DS) ,M1 Optimisation en Recherche Opérationnelle (ORO),M1 Apprentissage et Traitement Automatique de la Langue (ATAL),M1 CMI-OPTIM,M1 Smart Computing|nan|nan
Intelligence Artificielle et Applications|Intelligence Artificielle et Applications|Master|1|M1 Visual Computing (VICO),M1 Data Science (DS) ,M1 Apprentissage et Traitement Automatique de la Langue (ATAL),M1 Smart Computing|nan|Etude d'algorithmes de résolution d'une classe de problèmes de recherche dont l'exploration de l'espace de recherche correspond à un parcours d'arbre (notamment d'arbre de jeux) tels que recherche en largeur d'abord, en profondeur d'abord, avec heuristiques, recherche gloutonne, algorithme A*, algorithme minimax, élagage alpha-bêta, recherche arborescente Monte-Carlo.
Applications industrielles sur les données|Applications industrielles sur les données|Master|1|M1 Apprentissage et Traitement Automatique de la Langue (ATAL),M1 Data Science (DS) ,M1 Visual Computing (VICO),M1 Smart Computing|nan|L’objectif de cet enseignement est de proposer une présentation globale du contexte actuel de l’Intelligence Artificielle (IA) en milieu industrielle de même qu’un état des lieux sur les principaux cas d’usages et des frameworks associés. Trois domaines au centre du secteur IA et données sont plus particulièrement visés, à savoir : l’analyse ou la génération de textes (données langagières), d’images, de données. L’EC se décomposera en 2 demi-journées à chaque fois sur le site d’un partenaire industriel.
