key|title|level|semester|parcours|objective|content
"Master 1 M1 Visual Computing (VICO)
Année universitaire"|nan|||master Informatique|nan|
Anglais scientifique|nan|Master|1|M1 CMI-OPTIM,M1 Architecture Logicielle (ALMA),M1 Optimisation en Recherche Opérationnelle (ORO),M1 Visual Computing (VICO),M1 Data Science (DS) ,M1 Apprentissage et Traitement Automatique de la Langue (ATAL),M1 Smart Computing|nan|nan
Développement et exploitation|nan|Master|1|M1 Architecture Logicielle (ALMA),M1 Optimisation en Recherche Opérationnelle (ORO),M1 Visual Computing (VICO),M1 Data Science (DS) ,M1 Apprentissage et Traitement Automatique de la Langue (ATAL),M1 CMI-OPTIM,M1 Smart Computing|"1. reconnaître et modéliser un problème réel adapté à la résolution par la théorie des graphes.
2. choisir la représentation d'un graphe la plus adaptée à chaque problème, en visant l'efficacité.
3. prendre en compte la complexité intrinsèque des graphes pour calculer précisément la complexité algorithmique d'une solution et évaluer son efficacité.
4. mettre en œuvre les principales solutions algorithmiques pour les problèmes classiques de théorie des graphes : parcours, connexité, plus courts chemins, recherche de cycles."|"1. Introduction, rappels, exemples et applications.
2. Efficacité des algorithmes et calcul de la complexité: cas particulier des algorithmes portant sur les graphes
3. Graphes particuliers I (arbres, arborescences): algorithmes et applications.
4. Connexité, forte connexité: algorithmes et applications.
5. Graphes particuliers II (graphes bipartis, graphes orientés sans circuits): algorithmes et applications.
6. Plus courts chemins: algorithmes et applications"
Données massives et web sémantique|Données massives et web sémantique|Master|1|M1 Visual Computing (VICO),M1 Apprentissage et Traitement Automatique de la Langue (ATAL),M1 Architecture Logicielle (ALMA),M1 Data Science (DS) ,M1 Smart Computing|nan|"• Indentifier les services fournis pour une infrastructure de type cloud
• Evaluer sur une applciation passe à l’échelle dans le cloud,
• Evaluer la fiabilité d'une appllication dans le contexte de cloud
• Conception et déploiement des applications à large échelle dans un cloud
• REST API dans le contexte de cloud
• Stocker et accéder des données massives dans le cloud
• Calculer le coût d’une application web dans le cloud"
Analyse exploratoire de données|Analyse exploratoire de données|Master|1|M1 Visual Computing (VICO),M1 Data Science (DS) ,M1 Optimisation en Recherche Opérationnelle (ORO),M1 Apprentissage et Traitement Automatique de la Langue (ATAL),M1 CMI-OPTIM,M1 Smart Computing|nan|nan
Intelligence Artificielle et Applications|Intelligence Artificielle et Applications|Master|1|M1 Visual Computing (VICO),M1 Data Science (DS) ,M1 Apprentissage et Traitement Automatique de la Langue (ATAL),M1 Smart Computing|nan|Etude d'algorithmes de résolution d'une classe de problèmes de recherche dont l'exploration de l'espace de recherche correspond à un parcours d'arbre (notamment d'arbre de jeux) tels que recherche en largeur d'abord, en profondeur d'abord, avec heuristiques, recherche gloutonne, algorithme A*, algorithme minimax, élagage alpha-bêta, recherche arborescente Monte-Carlo.
Projet d'intelligence artificielle|Projet d'intelligence artificielle||||nan|"• Analyse et modélisation d’un problème de recherche type jeu à deux joueurs
•   Implémentation de plusieurs stratégies de jeu
•   Méthodes de comparaison de stratégies
•   Algorithme minimax
•   Élagage alpha-bêta
•   Recherche avec heuristiques
•   (Optionnel) Modèles d’apprentissage"
Interactions Humain-Machine|Interactions Humain-Machine|Master|1|M1 Apprentissage et Traitement Automatique de la Langue (ATAL),M1 Data Science (DS) ,M1 Visual Computing (VICO),M1 Smart Computing|"- Analyser le contexte métier et humain d’une intervention numérique
- Concevoir une interaction et une interface humain-machine
- Evaluer l’expérience utilisateur liée à un outil numérique
- Concevoir une visualisation de données"|"- Introduction à l’interaction humain-machine
- Du côté de l'humain
- Conception d’interactions et d’interfaces
- Evaluation d’interactions et d’interfaces
- Programmation d’interfaces / pattern MVC
- Visualisation de données"
Compilation|Compilation|Master|2|M1 Data Science (DS) ,M1 Optimisation en Recherche Opérationnelle (ORO),M1 CMI-OPTIM,M1 Visual Computing (VICO),M1 Apprentissage et Traitement Automatique de la Langue (ATAL),M1 Architecture Logicielle (ALMA),M1 Smart Computing|nan|nan
Professionnalisation et éthique|2|Master|2|M1 Data Science (DS) ,M1 Visual Computing (VICO),M1 Optimisation en Recherche Opérationnelle (ORO),M1 Apprentissage et Traitement Automatique de la Langue (ATAL),M1 Architecture Logicielle (ALMA),M1 CMI-OPTIM,M1 Smart Computing|nan|"Le projet de recherche est une mise en situation d'apprentissage de compétences liées à la recherche.
Il s'agit de travailler sur une sujet de recherche fourni par une équipe de recherche de LS2N, supervisé par un chercheur professionel.
L'objectif est constuire une contribution scientifique sur un problème scientifique indentifié.  Cette contribution doit être clairement positionnée par rapport à l'état l'art et validée suivant une méthodologie scientifique.
Le travail doit être présenté sous forme d'un article de recherche respectant les codes d'un travail académique. Le travail doit être défendu lors d'une présentation orale devant un jury de chercheurs professionels.
Ce travail s'effectue tout au long du semestre et requiert des échanges scientifiques régulier avec les chercheurs.
Les activités visées
- Conception et élaboration d’une démarche de recherche et développement, d’études et prospective
- Mise en oeuvre d’une démarche de recherche et développement, d’études et prospective Les compétences visées sont:
- Disposer d’une expertise scientifique tant générale que spécifique d’un domaine de recherche et de travail déterminé
- Faire le point sur l’état et les limites des savoirs au sein d’un secteur d’activité déterminé, aux échelles locale, nationale et internationale
- Identifier et résoudre des problèmes complexes et nouveaux impliquant une pluralité de domaines, en mobilisant les connaissances et les savoir–faire les plus avancés."
