key|volume|ects
Information générale||
Description des UE|TOTAL : 17.5h Répartition : CM : 0h TD : 0h CI : 15h TP : 0h EAD : 2.5h|
nan|TOTAL : 24h Répartition : CM : 0h TD : 0h CI : 14h TP : 7.5h EAD : 2.5h|
Langue d’enseignement|TOTAL : 24h Répartition : CM : 0h TD : 0h CI : 14h TP : 7.5h EAD : 2.5h|
nan|TOTAL : 24h Répartition : CM : 0h TD : 0h CI : 14h TP : 7.5h EAD : 2.5h|
nan|TOTAL : 24h Répartition : CM : 0h TD : 0h CI : 14h TP : 7.5h EAD : 2.5h|
nan|TOTAL : 21.5h Répartition : CM : 0h TD : 0h CI : 14h TP : 7.5h EAD : 0h|
nan|TOTAL : 24h Répartition : CM : 0h TD : 0h CI : 21.5h TP : 0h EAD : 2.5h|
nan|TOTAL : 24h Répartition : CM : 0h TD : 0h CI : 21.5h TP : 0h EAD : 2.5h|
nan|TOTAL : 0h Répartition : CM : 0h TD : 0h CI : 0h TP : 0h EAD : 0h|
