key|volume|ects
Information générale||
Métaheuristiques|TOTAL : 24h Répartition : CM : 12h TD : 12h CI : 0h TP : 0h EAD : 0h|
Analyse exploratoire de données|TOTAL : 23.99h Répartition : CM : 10.66h TD : 5.33h CI : 0h TP : 8h EAD : 0h|
Structures et stratégies pour la résolution de problèmes|TOTAL : 48.01h Répartition : CM : 5.33h TD : 42.68h CI : 0h TP : 0h EAD : 0h|
Applications industrielles sur les données|TOTAL : 5.33h Répartition : CM : 0h TD : 5.33h CI : 0h TP : 0h EAD : 0h|
Web sémantique - Web des données|TOTAL : 24.65h Répartition : CM : 9.33h TD : 6.66h CI : 0h TP : 8.66h EAD : 0h|
Développement et exploitation|TOTAL : 23.99h Répartition : CM : 10.66h TD : 0h CI : 0h TP : 13.33h EAD : 0h|
Anglais scientifique|TOTAL : 16h Répartition : CM : 0h TD : 16h CI : 0h TP : 0h EAD : 0h|
Apprentissage automatique|TOTAL : 23.99h Répartition : CM : 12h TD : 5.33h CI : 0h TP : 6.66h EAD : 0h|
Professionnalisation|TOTAL : 11.99h Répartition : CM : 5.33h TD : 6.66h CI : 0h TP : 0h EAD : 0h|
Bases de données avancées|TOTAL : 24h Répartition : CM : 0h TD : 24h CI : 0h TP : 0h EAD : 0h|
Introduction au traitement d'image|TOTAL : 24h Répartition : CM : 12h TD : 12h CI : 0h TP : 0h EAD : 0h|
Informatique temps réel et embarquée|TOTAL : 24h Répartition : CM : 12h TD : 5.33h CI : 0h TP : 6.67h EAD : 0h|
Conception et Analyse d'Algorithmes Efficaces|TOTAL : 24h Répartition : CM : 12h TD : 8h CI : 0h TP : 4h EAD : 0h|
Ingéniérie des réseaux|TOTAL : 24h Répartition : CM : 12h TD : 8h CI : 0h TP : 4h EAD : 0h|
Préparation au TOEIC|TOTAL : 0h Répartition : CM : 0h TD : 0h CI : 0h TP : 0h EAD : 0h|
