key|volume|ects
"Master 1 M1 Optimisation en Recherche Opérationnelle (ORO)
Année universitaire"||
Développement et exploitation|TOTAL : 23.99h Répartition : CM : 10.66h TD : 0h CI : 0h TP : 13.33h EAD : 0h|
Graphes et Complexité|TOTAL : 23.99h Répartition : CM : 10.66h TD : 9.33h CI : 0h TP : 4h EAD : 0h|
Dualité et optimisation linéaire continue|TOTAL : 24h Répartition : CM : 12h TD : 12h CI : 0h TP : 0h EAD : 0h|
Introduction à l'optimisation non-linéaire différentiable|TOTAL : 24h Répartition : CM : 12h TD : 6.67h CI : 0h TP : 5.33h EAD : 0h|
Métaheuristiques|TOTAL : 24h Répartition : CM : 12h TD : 12h CI : 0h TP : 0h EAD : 0h|
Analyse exploratoire de données|TOTAL : 23.99h Répartition : CM : 10.66h TD : 5.33h CI : 0h TP : 8h EAD : 0h|
Compilation|TOTAL : 24h Répartition : CM : 16h TD : 8h CI : 0h TP : 0h EAD : 0h|
Projet de recherche|TOTAL : 16h Répartition : CM : 16h TD : 0h CI : 0h TP : 0h EAD : 0h|
Professionnalisation et éthique|TOTAL : 23.99h Répartition : CM : 13.33h TD : 10.66h CI : 0h TP : 0h EAD : 0h|
Optimiser sous incertitude|TOTAL : 24h Répartition : CM : 12h TD : 8h CI : 0h TP : 4h EAD : 0h|
Ingénierie de la décision|TOTAL : 24h Répartition : CM : 12h TD : 12h CI : 0h TP : 0h EAD : 0h|
Informatique temps réel et embarquée|TOTAL : 24h Répartition : CM : 12h TD : 5.33h CI : 0h TP : 6.67h EAD : 0h|
Conception et Analyse d'Algorithmes Efficaces|TOTAL : 24h Répartition : CM : 12h TD : 8h CI : 0h TP : 4h EAD : 0h|
Ingéniérie des réseaux|TOTAL : 24h Répartition : CM : 12h TD : 8h CI : 0h TP : 4h EAD : 0h|
stage volontaire en informatique|TOTAL : 0h Répartition : CM : 0h TD : 0h CI : 0h TP : 0h EAD : 0h|
