key|volume|ects
Information générale||
Graphes et Complexité|TOTAL : 23.99h Répartition : CM : 10.66h TD : 9.33h CI : 0h TP : 4h EAD : 0h|
Développement et exploitation|TOTAL : 23.99h Répartition : CM : 10.66h TD : 0h CI : 0h TP : 13.33h EAD : 0h|
Objectifs (résultats d'apprentissage)||
Conception de logiciels|TOTAL : 23.99h Répartition : CM : 10.66h TD : 0h CI : 0h TP : 13.33h EAD : 0h|
Graphes II et Réseaux|TOTAL : 24h Répartition : CM : 8h TD : 8h CI : 0h TP : 8h EAD : 0h|
Dualité et optimisation linéaire continue|TOTAL : 24h Répartition : CM : 12h TD : 12h CI : 0h TP : 0h EAD : 0h|
Analyse exploratoire de données|TOTAL : 23.99h Répartition : CM : 10.66h TD : 5.33h CI : 0h TP : 8h EAD : 0h|
Intelligence Artificielle et Applications|TOTAL : 48.01h Répartition : CM : 5.33h TD : 42.68h CI : 0h TP : 0h EAD : 0h|
Applications industrielles sur les données|TOTAL : 5.33h Répartition : CM : 0h TD : 5.33h CI : 0h TP : 0h EAD : 0h|
Projet transversal|TOTAL : 24h Répartition : CM : 8h TD : 0h CI : 0h TP : 16h EAD : 0h|
Preuves et Constructions Formelles|TOTAL : 23.99h Répartition : CM : 6.66h TD : 5.33h CI : 0h TP : 12h EAD : 0h|
Programmation concurrente en multi-threads|TOTAL : 23.99h Répartition : CM : 12h TD : 6.66h CI : 0h TP : 5.33h EAD : 0h|
Données massives et cloud|TOTAL : 24h Répartition : CM : 8h TD : 8h CI : 0h TP : 8h EAD : 0h|
Optimisation discrète et combinatoire|TOTAL : 48h Répartition : CM : 24h TD : 12h CI : 0h TP : 12h EAD : 0h|
Research Discovery|TOTAL : 0h Répartition : CM : 0h TD : 0h CI : 0h TP : 0h EAD : 0h|
Apprentissage automatique|TOTAL : 23.99h Répartition : CM : 12h TD : 5.33h CI : 0h TP : 6.66h EAD : 0h|
Projet de recherche|TOTAL : 16h Répartition : CM : 16h TD : 0h CI : 0h TP : 0h EAD : 0h|
Professionnalisation|TOTAL : 11.99h Répartition : CM : 5.33h TD : 6.66h CI : 0h TP : 0h EAD : 0h|
Summer Internship (M1 SMART)|TOTAL : 0h Répartition : CM : 0h TD : 0h CI : 0h TP : 0h EAD : 0h|
