key|volume|ects
Information générale||
Programme||nan
Optimisation multi-objectif|TOTAL : 24h Répartition : CM : 12h TD : 12h CI : 0h TP : 0h EAD : 0h|
Programmation mathématique|TOTAL : 24h Répartition : CM : 12h TD : 12h CI : 0h TP : 0h EAD : 0h|
Algorithmique du génome|TOTAL : 24h Répartition : CM : 10.67h TD : 13.33h CI : 0h TP : 0h EAD : 0h|
Optimisation en robotique|TOTAL : 24h Répartition : CM : 12h TD : 12h CI : 0h TP : 0h EAD : 0h|
Solveurs multi-objectifs|TOTAL : 24h Répartition : CM : 12h TD : 12h CI : 0h TP : 0h EAD : 0h|
Complément en Anglais du Projet Intégrateur CMI OPTIM|TOTAL : 0h Répartition : CM : 0h TD : 0h CI : 0h TP : 0h EAD : 0h|
Stage Spécifique M1 CMI OPTIM|TOTAL : 0h Répartition : CM : 0h TD : 0h CI : 0h TP : 0h EAD : 0h|
Transport et logistique|TOTAL : 24h Répartition : CM : 10h TD : 10h CI : 0h TP : 4h EAD : 0h|
Stage|TOTAL : 0h Répartition : CM : 0h TD : 0h CI : 0h TP : 0h EAD : 0h|
Complément en Anglais du Stage M2 CMI OPTIM|TOTAL : 0h Répartition : CM : 0h TD : 0h CI : 0h TP : 0h EAD : 0h|
