key|title|level|semester|parcours|objective|content
Information générale||||master MIAGE|"Pas de semestralisation des enseignements
Les EC de la partie théorique et de la partie pratique sont répartis sur l'ensemble de l'année de mi- septembre à mi-avril (sauf l'EC stage qui a lieu de mi-avril à fin août)."|
Analyser la situation d’une organisation en vue d’adapter et gérer son système d’information||Master|1|MIAGE - classique||"Introduction générale au droit, La propriété intellectuelle, Le contrat de travail et les TIC, Le RGPD, Les licences et logiciels,Le droit des contrats,
Les spécificités des contrats numériques, La liberté d’expression sur Internet et le droit des réseaux sociaux, Cybersécurité, cybercriminalité et cryptomonnaies"
Politiques de financement|Politiques de financement|Master|1|MIAGE - classique||Les annuités, Les emprunts indivis, Les mesures d’évaluation des investissements, Le plan de financement, Mode de financement et coût du financement à LT
Ingénierie des Réseaux|Ingénierie des Réseaux|Master|1|||"Fonctionnement des principaux protocoles utilisés dans l’internet. Enjeux et les évolutions de l'adressage IP
Principe du routage aussi bien statique que dynamique Différents modèles de communication
Architectures réseaux à qualité de service (QoS) et celles permettant l'ingénierie de trafic Principe de configuration des applications clientserveur (FTP, DHCP, TELNET,...)
Utiliser les principaux services (DNS, ...) et outils de l’internet Notions de sécurité (pare-feu, cybercriminalité)
Protocoles d'échange et les mettre en oeuvre via la programmation réseaux (socket)"
Management d'équipe||||MIAGE - classique|"Comprendre les principes de collaboration et de communication au sein d'une équipe Savoir différencier les modes de management (hiérarchique, transversal, matriciel, etc.)
Identifier les fonctionnements individuels et les principales modalités d'interaction entre individus Etre capable de constituer une équipes en prenant en compte les forces et faiblesses de chacun Savoir définir et expliquer aux membres d'une équipe à quelle mission ils contribuent et les objectifs individuels et collectifs qui en découlent
Maîtrises les techniques d'animation de réunions
Poser les dispositifs de contrôle et d'amélioration périodiques des pratiques Juger des éventuelles lacunes de l'équipe en vue de la renforcer ou de recruter"|Constitution d’équipe, Organisation du travail, Prise de décisions, Analyse de la performance, Management par objectif (définition des objectifs), Exercice du contrôle, Gestion des conflits, Pilotage du changement, Transversalité et projets, Conduite de réunion, Gestion de l’information, Délégation, Recentrage, Entretien de progrès
Concevoir, développer et tester des applications dans des environnements spécifiques|Concevoir, développer et tester des applications dans des environnements spécifiques|Master|1|MIAGE - classique||"Expliquer les principes de la conception de SI : niveaux d’abstraction, modèles de représentation, démarches de conception
Conception préliminaire, architecturale, détaillée Composants logiciels, services, micro-services,
Frameworks, patterns, contrats logiciel, tests unitaires et intégration Qualité du code (clean code, tableaux de bord)
Bonnes pratiques (principes de conception) Rétro-ingénierie"
Données sur le web|Données sur le web||||"Comprendre les enjeux de l'Open Data.
Mettre en oeuvre un projet Open Data dans une organisation.  Etre cappable de modéliser des données sous forme hiérarchique.
Maitriser les paradigmes de programmation permettant d'excploiter des données hiérarchiques. Etre capable de justifier du choix de l'algorithme en termes de complexité temporelle et spaciale."|Open Data, données semi-structurées (modélisation et exploitation ; XML, JSON)
Modélisation et vérification des modèles|Modélisation et vérification des modèles|Master|||"Comprendre et savoir manipuler des modèles graphiques à états (automates, réseaux de Petri, chaînes de Markov, etc.)
Produire un modèle graphique (système de transitions) adapté à un problème concret en utilisant le formalisme adapté
Comprendre et savoir manipuler des formules écrites en logique linéaire et prédicative
Produire la ou les formules logiques adaptée(s) à des propriétés exprimées en langage naturel
Avoir connaissance et savoir appliquer les principaux algorithmes de vérification formelle"|"Modélisation, modèles graphiques à états et modèles logiques. Modélisation de programmes et interactions avec les utilisateurs (par ex. protocoles de transmission)
En fonction des acquis, rappels de logique prédicative.
Vérification de propriétés logiques (linéaire) et d'assertions (à la Z, B)."
Anglais|2||2|MIAGE - classique|"Présenter en anglais, à l’oral et dans un registre formel, un projet de groupe portant sur un scénario dont ils auront analysé les données avant de proposer des solutions pragmatiques à la situation de départ
Rédiger en anglais des documents détaillant ces solutions techniques et destinés à un public de spécialistes de Management et Informatique
Présenter en anglais, individuellement et sans notes, dans un registre informel, une innovation ou une actualité relatives au domaine du Management et de l'informatique
Présenter en anglais et à l’oral une étude de cas étudiée en amont."|En classe, un projet de groupe portera sur un scénario dont les étudiants auront analysé les  données avant de proposer des solutions pragmatiques à la situation de départ. Cette période de recherche collective sera suivi d'un rapport écrit en anglais, avec une présentation orale en groupe, en anglais. La notation est individuel pour l'oral et une note de groupe pour le rapport. Lors du projet, les étudiants, en groupe, devront créer une vidéo et son texte en anglais, ainsi qu'un site web et une plateforme d'apprentissage (MOOC).
Professionnalisation - Mémoire 1|Professionnalisation - Mémoire 1||||"Intégrer la culture compétences : référentiels - formation, professionnel, métiers Construire une réflexion personnelle ciblée
Comprendre les métiers liés à l’environnement professionnel Examiner les compétences liées à ces métiers
Développer une stratégie de veille sur l’offre globale de stage, alternance, emploi ou/et création d’activités
Expliciter et organiser ses attentes par rapport à l’offre stage, alternance, emploi ou/et création d’activités
Auto évaluer ses compétences et les situer dans des référentiels
Formaliser son profil de compétences et d’expériences professionnelles et personnelles Appréhender les compétences associées à des compétences complexes Identifier les compétences métiers
Réinvestir ses expériences professionnelles"|"Le module est un travail à effectuer en groupe (3 à 5 étudiants) dans le cadre soit d'une entreprise (ou d'une institution), soit d'un laboratoire d'informatique soit à la faculté des sciences. Le projet a lieu tous les mercredis sur les deux semestres. Il porte sur la conception et le développement d'un logiciel en entreprise ou dans une équipe de recherche ou bien sous la forme de challenges proposés par
des entreprises (ou des organismes), des séances de formation ou d'autoformation et des projets de développement courts. L'évaluation s'effectue par une évaluation du travail effectué, par des rapports et par des présentations orales. Ce module s'intéresse plus particulièrement aux différents rapports que doivent fournir les étudiants."
