key|volume|ects
"Master 1 M1 Apprentissage et Traitement Automatique de la Langue (ATAL)
Année universitaire"||
Graphes et Complexité|TOTAL : 23.99h Répartition : CM : 10.66h TD : 9.33h CI : 0h TP : 4h EAD : 0h|
Anglais scientifique|TOTAL : 16h Répartition : CM : 0h TD : 16h CI : 0h TP : 0h EAD : 0h|
Structures et stratégies pour la résolution de problèmes|TOTAL : 24h Répartition : CM : 5.33h TD : 18.67h CI : 0h TP : 0h EAD : 0h|
Métaheuristiques|TOTAL : 24h Répartition : CM : 12h TD : 12h CI : 0h TP : 0h EAD : 0h|
Données massives et web sémantique|TOTAL : 48.65h Répartition : CM : 17.33h TD : 14.66h CI : 0h TP : 16.66h EAD : 0h|
Web sémantique - Web des données|TOTAL : 24.65h Répartition : CM : 9.33h TD : 6.66h CI : 0h TP : 8.66h EAD : 0h|
Professionnalisation|TOTAL : 11.99h Répartition : CM : 5.33h TD : 6.66h CI : 0h TP : 0h EAD : 0h|
Compilation|TOTAL : 24h Répartition : CM : 16h TD : 8h CI : 0h TP : 0h EAD : 0h|
Bases de données avancées|TOTAL : 16h Répartition : CM : 16h TD : 0h CI : 0h TP : 0h EAD : 0h|
Modèles probabilistes|TOTAL : 24h Répartition : CM : 16h TD : 8h CI : 0h TP : 0h EAD : 0h|
Informatique temps réel et embarquée|TOTAL : 24h Répartition : CM : 12h TD : 5.33h CI : 0h TP : 6.67h EAD : 0h|
Ingéniérie des réseaux|TOTAL : 24h Répartition : CM : 12h TD : 8h CI : 0h TP : 4h EAD : 0h|
Conception et Analyse d'Algorithmes Efficaces|TOTAL : 24h Répartition : CM : 12h TD : 8h CI : 0h TP : 4h EAD : 0h|
Préparation au TOEIC|TOTAL : 0h Répartition : CM : 0h TD : 0h CI : 0h TP : 0h EAD : 0h|
